CODE,COUNTRY,DATE,HDI,TC,TD,STI,POP,GDPCAP,CONTINENT
AFG,Afghanistan,2020-10-05,0.498,10.58002251,7.28756064,3.218875825,17.4772331,7.497754494,AS
ALB,Albania,2020-10-05,0.785,9.565634363,5.981414211,3.773220603,14.87253667,9.376145531,EU
DZA,Algeria,2020-10-12,0.754,10.87940476,7.496097345,4.329811863,17.59630906,9.540639235,AF
AGO,Angola,2020-10-08,0.581,8.652597828,5.327876169,4.266896327,17.3079574,8.668968767,AF
ARG,Argentina,2020-10-09,0.825,13.66044146,10.03056064,4.476882166,17.62651421,9.848709615,SA
ABW,Aruba,2020-10-12,0.9383631284916201,8.341410211,3.465735903,3.921180943,11.5783948,10.49054565,NA
AUS,Australia,2020-10-19,0.939,10.21793326,6.80682936,4.178685711,17.05418434,10.70658069,OC
AUT,Austria,2020-10-15,0.908,10.99151064,6.788971743,3.804660487,16.01344599,10.72407512,EU
AZE,Azerbaijan,2020-10-18,0.757,10.69912363,6.434546519,4.192680463,16.13191719,9.670761927,AS
BHR,Bahrain,2020-10-19,0.846,11.26320691,5.703782475,4.157162855,14.34706955,10.67569323,AS
BGD,Bangladesh,2020-10-07,0.608,12.82565671,8.59507973,4.383151002,18.91957173,8.167347447,AS
BRB,Barbados,2020-10-19,0.8,5.402677382,1.945910149,3.2554006,12.56852934,9.739677672,NA
BLR,Belarus,2020-10-08,0.808,11.30841965,6.773080376,2.407845604,16.06145345,9.750800543,EU
BEL,Belgium,2020-10-17,0.916,12.31100007,9.250426096,3.773220603,16.26562008,10.66098361,EU
BLZ,Belize,2020-10-08,0.708,7.745002804,3.526360525,4.24046307,12.89325457,8.964997479,NA
BEN,Benin,2020-10-09,0.515,7.787796878,3.713572067,3.854817532,16.31063137,7.632515461,AF
BMU,Bermuda,2020-10-17,0.6920871794871795,5.220355825,2.197224577,3.356897123,11.03928322,10.83307578,NA
BOL,Bolivia,2020-10-11,0.693,11.83835842,9.023046474,4.400357591,16.27279152,8.837220811,SA
BIH,Bosnia and Herzegovina,2020-10-14,0.768,10.34730761,6.853299093,3.707210411,15.00360243,9.368531023,EU
BWA,Botswana,2020-10-18,0.717,8.564458384,2.995732274,4.157162855,14.67061714,9.668231819,AF
BRA,Brazil,2020-09-22,0.759,15.33240941,11.82971964,4.286203823,19.17473208,9.554174869,SA
BRN,Brunei,2020-10-18,0.853,4.990432587,1.098612289,3.560761951,12.98879313,11.18176859,AS
BGR,Bulgaria,2020-10-17,0.813,10.25783479,6.864847778,3.560761951,15.75402845,9.828942169,EU
BFA,Burkina Faso,2020-10-14,0.423,7.742835955,4.143134726,3.586569835,16.85541655,7.440206573,AF
CMR,Cameroon,2020-10-16,0.556,9.973060256,6.047372179,3.586569835,17.09438451,8.121161251,AF
CAN,Canada,2020-10-15,0.926,12.15154782,9.17616292,4.105119635,17.44628825,10.69234463,NA
CPV,Cape Verde,2020-10-11,0.654,8.841158976,4.304065093,4.233816608,13.22850199,8.735935712,AF
CAF,Central African Republic,2020-10-16,0.367,8.487764381,4.127134385,4.033886593,15.39030816,6.49411686,AF
TCD,Chad,2020-10-15,0.404,7.192182059,4.521788577,4.185707568,16.61436742,7.477690778,AF
CHL,Chile,2020-10-01,0.843,13.04546289,9.452580419,4.428433007,16.76604717,10.03306902,SA
CHN,China,2020-10-07,0.752,11.41494873,8.463581422,3.99212725,21.08743924,9.636177357,AS
COL,Colombia,2020-10-18,0.747,13.76670994,10.26823483,4.266896327,17.74503716,9.492126271,SA
COG,Congo,2020-10-14,0.606,8.547916364,4.521788577,4.033886593,15.52354271,8.493188572,AF
CRI,Costa Rica,2020-10-06,0.794,11.30379576,6.894670039,4.112675519,15.44359631,9.650206585,NA
CIV,Cote d'Ivoire,2020-10-12,0.492,9.911158059,4.787491743,3.478467017,17.08805131,8.18896853,AF
HRV,Croatia,2020-10-12,0.831,9.925249044,5.780743516,3.356897123,15.22778158,10.02878879,EU
CYP,Cyprus,2020-10-19,0.869,7.880048201,3.218875825,3.835141961,13.68300607,10.38638063,AS
CZE,Czech Republic,2020-10-08,0.888,11.46541448,6.720220155,3.874321138,16.18659339,10.39224872,EU
COD,Democratic Republic of Congo,2020-10-19,0.457,9.310276201,5.710427017,3.874321138,18.31043503,6.694726649,AF
DNK,Denmark,2020-10-09,0.929,10.34676212,6.499787041,3.930452141,15.57202326,10.75112496,EU
DJI,Djibouti,2020-10-16,0.476,8.602085658,4.110873864,3.684118137,13.80344,7.903007272,AF
DOM,Dominican Republic,2020-10-17,0.736,11.69899001,7.692569648,4.171459912,16.19948244,9.588835779,NA
ECU,Ecuador,2020-10-16,0.752,11.9207877,9.417842227,3.883829271,16.68585306,9.266903675,SA
EGY,Egypt,2020-10-15,0.696,11.56090578,8.712266432,4.142499604,18.44375647,9.263900665,AF
SLV,El Salvador,2020-10-18,0.674,10.35634502,6.826545224,3.966132331,15.68518756,8.894595942,NA
EST,Estonia,2020-10-08,0.871,8.220133957,4.204692619,3.100992784,14.09808385,10.29150981,EU
ETH,Ethiopia,2020-10-11,0.463,11.33175125,7.152268856,4.353884329,18.56012597,7.45583449,AF
