CODE,HDI,TC,POP,GDPCAP,CONTINENT
AFG,0.498,10.58002251,17.4772331,7.497754494,1
ALB,0.785,9.565634363,14.87253667,9.376145531,2
DZA,0.754,10.87940476,17.59630906,9.540639235,6
AGO,0.581,8.652597828,17.3079574,8.668968767,6
ARG,0.825,13.66044146,17.62651421,9.848709615,5
ABW,0.9383631284916201,8.341410211,11.5783948,10.49054565,3
AUS,0.939,10.21793326,17.05418434,10.70658069,4
AUT,0.908,10.99151064,16.01344599,10.72407512,2
AZE,0.757,10.69912363,16.13191719,9.670761927,1
BHR,0.846,11.26320691,14.34706955,10.67569323,1
BGD,0.608,12.82565671,18.91957173,8.167347447,1
BRB,0.8,5.402677382,12.56852934,9.739677672,3
BLR,0.808,11.30841965,16.06145345,9.750800543,2
BEL,0.916,12.31100007,16.26562008,10.66098361,2
BLZ,0.708,7.745002804,12.89325457,8.964997479,3
BEN,0.515,7.787796878,16.31063137,7.632515461,6
BMU,0.6920871794871795,5.220355825,11.03928322,10.83307578,3
BOL,0.693,11.83835842,16.27279152,8.837220811,5
BIH,0.768,10.34730761,15.00360243,9.368531023,2
BWA,0.717,8.564458384,14.67061714,9.668231819,6
BRA,0.759,15.33240941,19.17473208,9.554174869,5
BRN,0.853,4.990432587,12.98879313,11.18176859,1
BGR,0.813,10.25783479,15.75402845,9.828942169,2
BFA,0.423,7.742835955,16.85541655,7.440206573,6
CMR,0.556,9.973060256,17.09438451,8.121161251,6
CAN,0.926,12.15154782,17.44628825,10.69234463,3
CPV,0.654,8.841158976,13.22850199,8.735935712,6
CAF,0.367,8.487764381,15.39030816,6.49411686,6
TCD,0.404,7.192182059,16.61436742,7.477690778,6
CHL,0.843,13.04546289,16.76604717,10.03306902,5
CHN,0.752,11.41494873,21.08743924,9.636177357,1
COL,0.747,13.76670994,17.74503716,9.492126271,5
COG,0.606,8.547916364,15.52354271,8.493188572,6
CRI,0.794,11.30379576,15.44359631,9.650206585,3
CIV,0.492,9.911158059,17.08805131,8.18896853,6
HRV,0.831,9.925249044,15.22778158,10.02878879,2
CYP,0.869,7.880048201,13.68300607,10.38638063,1
CZE,0.888,11.46541448,16.18659339,10.39224872,2
COD,0.457,9.310276201,18.31043503,6.694726649,6
DNK,0.929,10.34676212,15.57202326,10.75112496,2
DJI,0.476,8.602085658,13.80344,7.903007272,6
DOM,0.736,11.69899001,16.19948244,9.588835779,3
ECU,0.752,11.9207877,16.68585306,9.266903675,5
EGY,0.696,11.56090578,18.44375647,9.263900665,6
SLV,0.674,10.35634502,15.68518756,8.894595942,3
EST,0.871,8.220133957,14.09808385,10.29150981,2
ETH,0.463,11.33175125,18.56012597,7.45583449,6
FJI,0.741,3.465735903,13.7061911,9.0714202,4
FIN,0.92,9.357034751,15.52763465,10.61117158,2
FRA,0.901,13.41747478,17.99409688,10.56115446,2
GAB,0.702,9.090317329,14.61559461,9.71489113,6
GMB,0.46,8.202208436,14.69789863,7.353573152,6
GEO,0.78,9.637371258,15.199095,9.184517719,1
DEU,0.936,12.61359896,18.24375196,10.71949917,2
GHA,0.592,10.75425795,17.25184806,8.349396831,6
GRC,0.87,10.00233692,16.15953083,10.1094598,2
GTM,0.65,11.49094567,16.70118056,8.912447412,3
GIN,0.459,9.317758769,16.39062287,7.600365315,6
GUY,0.654,8.166500319,13.57542301,8.91396018,5
HTI,0.498,9.091782036,16.24934608,7.410451751,3
HND,0.617,11.34866384,16.10851066,8.421077587,3
HUN,0.838,10.53646001,16.08354044,10.19531954,2
ISL,0.935,8.231376046,12.74037063,10.74684103,2
IND,0.64,15.78623596,21.04535251,8.768212421,1
IDN,0.694,12.67783722,19.42689854,9.322663552,1
IRN,0.798,13.18134901,18.24624346,9.856533252,1
IRQ,0.685,12.96368178,17.50993717,9.659119471,1
IRL,0.938,10.819018,15.41242964,11.11743979,2
ISR,0.903,12.62427627,15.97371025,10.40826452,1
ITA,0.88,12.93420321,17.91752278,10.46937177,2
JAM,0.732,9.020873347,14.90109198,9.011105101,3
JPN,0.909,11.44171943,18.65556675,10.57137392,1
JOR,0.735,10.53404099,16.13820607,9.028517491,1
KAZ,0.8,11.88774578,16.74812767,10.0881226,1
KEN,0.59,10.71176982,17.80025043,8.004040863,6
KWT,0.803,11.6626033,15.26725623,11.09027153,1
KGZ,0.672,10.86906356,15.69102752,8.129609454,1
LVA,0.847,8.14612951,14.45007584,10.12918169,2
LBN,0.757,11.03949196,15.73616766,9.500586529,1
LSO,0.52,7.513709248,14.57736817,7.955478753,6
LBR,0.435,7.227662499,15.43641784,6.623783648,6
LBY,0.706,10.79528065,15.74286198,9.791522441,6
LTU,0.858,8.693328989,14.81698436,10.29296775,2
LUX,0.904,9.272939514,13.34706731,11.45400277,2
MDG,0.519,9.724241262,17.13661869,7.25590196,6
MWI,0.477,8.669227347,16.76676599,6.998547998,6
MYS,0.802,9.928082599,17.29261899,10.19646175,1
MLI,0.427,8.122074375,16.82370654,7.608029998,6
MRT,0.52,8.925720274,15.35230466,8.188031408,6
MUS,0.79,5.978885765,14.05591783,9.918018712,6
MEX,0.774,13.61536672,18.67480153,9.760567596,3
MDA,0.7,10.93110497,15.21025983,8.554483581,2
MAR,0.667,12.04889823,17.42400819,8.920658034,6
MOZ,0.437,9.219101878,17.25770384,7.035359264,6
MMR,0.578,10.49196842,17.81205473,8.629020214,1
NAM,0.647,9.414341878,14.7480352,9.163438264,6
NPL,0.574,11.45373794,17.18751281,7.800901839,1
NLD,0.931,11.91716983,16.6566263,10.78875283,2
NZL,0.917,7.331060305,15.38874766,10.49365591,4
NIC,0.658,8.568646473,15.70629361,8.579499974,3
NER,0.354,7.090909822,17.00213737,6.830874235,6
NGA,0.532,11.02364931,19.1440641,8.582691377,6
NOR,0.953,9.68880808,15.5058355,11.07906176,2
OMN,0.821,11.5701561,15.44604869,10.54430693,1
PAK,0.562,12.6798753,19.21318595,8.524110809,1
PSE,0.686,10.88610895,15.44502871,8.400636454,1
PAN,0.789,11.73402693,15.27755412,10.0108627,3
PNG,0.544,6.293419279,16.00683186,8.248841478,4
PRY,0.702,10.69607275,15.78017657,9.085571618,5
PER,0.75,13.67472434,17.3111646,9.412195402,5
PHL,0.699,12.73476078,18.51217534,8.935796678,1
POL,0.865,11.58356099,17.44905184,10.21157667,2
PRT,0.847,11.49328382,16.13757538,10.23770353,2
PRI,0.8559565217391304,10.95593373,14.86662585,10.46437881,3
QAT,0.856,11.75966835,14.87366884,11.66937863,1
ROU,0.811,12.10286537,16.77238152,10.05677496,2
RUS,0.816,14.07688818,18.79866817,10.11722517,2
RWA,0.524,8.496173824,16.37677691,7.525214548,6
SMR,0.8515377777777777,6.632001777,10.43229061,10.94837324,2
SAU,0.853,12.73843469,17.36552634,10.8005019,1
SEN,0.505,9.607033788,16.63354636,7.81220822,6
SRB,0.787,10.45699903,15.73310882,9.550298027,2
SLE,0.419,7.743269701,15.89207108,7.23727483,6
SGP,0.932,10.96628266,15.58201085,11.35668541,1
SVK,0.855,9.921081861,15.51289396,10.31411107,2
SVN,0.896,9.48372066,14.54736486,10.35458992,2
ZAF,0.699,13.46423956,17.8982664,9.416937869,6
KOR,0.903,10.11467997,17.75260041,10.48956092,1
SSD,0.388,7.913521017,16.23086427,7.358759558,6
ESP,0.891,13.69781652,17.66042712,10.44209448,2
LKA,0.77,8.466320861,16.87952045,9.36469763,1
SDN,0.502,9.524493962,17.59626861,8.40436195,6
SUR,0.72,8.541495484,13.28215639,9.530038347,5
SWZ,0.588,8.633552993,13.96407193,8.954024529,6
SWE,0.933,11.54442413,16.1279737,10.75682321,2
CHE,0.944,11.21750688,15.97360361,10.95797667,2
TJK,0.65,9.243388226,16.07075684,7.971400966,1
TZA,0.538,6.232448017,17.9054155,7.89480415,6
THA,0.755,8.210396255,18.06114425,9.69754957,1
TGO,0.503,7.592366129,15.92920098,7.265298945,6
TTO,0.784,8.468633001,14.15161916,10.26684759,3
TUN,0.735,10.61009375,16.28518664,9.291855564,6
TUR,0.791,12.73802355,18.25035574,10.13179141,1
UGA,0.516,9.267665439,17.63850561,7.437033796,6
UKR,0.751,12.52879724,17.59363088,8.97390804,2
ARE,0.863,11.55218464,16.10707515,11.11681868,1
GBR,0.922,13.0815768,18.03334044,10.59044673,2
USA,0.924,15.86482067,19.61763693,10.90090556,3
URY,0.804,7.824445931,15.06073864,9.930684782,5
UZB,0.71,11.03770827,17.32613614,8.740833259,1
VEN,0.761,11.35046536,17.1631645,9.725856299,5
VNM,0.694,7.033506484,18.39370601,8.727759419,1
YEM,0.452,7.628031127,17.21088998,7.299220849,1
ZMB,0.588,9.619266152,16.72698889,8.213178735,6
ZWE,0.535,9.00540504,16.51438055,7.549490737,6
